posisi,deskripsi,level
data analyst,"['Data Visualization', 'SQL', 'Informatica']",entry
data analyst,"['Power BI', 'Data Analysis', 'Financial Analysis', 'Attention to Detail', 'Google Sheets', 'Pivot Table', 'ROI Analysis', 'Tableau', 'Excel Macro', 'Excel', 'Zoho CRM', 'Business Intelligence', 'Dashboard']",middle
data analyst,"['Power BI', 'Data Quality', 'Business Intelligence', 'ETL', 'UI/UX Design', 'Attention to Detail', 'Data Reconciliation', 'Technical Support', 'Oracle ERP', 'Statistics', 'Reporting', 'Tableau', 'Python', 'SQL', 'Artificial Intelligence', 'Dashboard', 'R', 'Troubleshooting']",senior
data analyst,"['Analytical Thinking', 'Excel Macro', 'Excel', 'InVision']",middle
data analyst,"['Power BI', 'Looker Studio', 'ETL', 'Excel', 'Reporting', 'Metabase', 'Tableau', 'Python', 'SQL', 'Business Intelligence', 'Dashboard']",middle
data analyst,"['Data Analysis', 'Critical Thinking', 'Python', 'Excel', 'SQL', 'Problem Solving', 'Dashboard']",middle
data analyst,"['Problem Solving', 'Data Modeling', 'Statistics', 'Communication', 'Dashboard', 'Analytical Thinking', 'Reporting', 'Excel', 'SQL']",middle
data analyst,"['Power BI', 'Data Science', 'Data Analysis', 'Data Cleaning', 'Forecasting', 'Reporting', 'Tableau', 'Python', 'Google Sheets', 'Looker', 'Excel', 'SQL', 'Business Intelligence', 'Dashboard', 'Virtualization', 'ECharts', 'jQuery', 'Statistics']",senior
data analyst,"['Power BI', 'Data Science', 'Analytical Thinking', 'Communication', 'Project Management', 'Statistics', 'Reporting', 'Python', 'Excel', 'SQL', 'Informatica', 'Google Sheets']",entry
data analyst,"['Power BI', 'Data Visualization', 'Data Science', 'Data Analysis', 'Data Quality', 'Data Governance', 'Statistical Analysis', 'Statistics', 'Tableau', 'Storage Management', 'Python', 'Excel', 'SQL']",entry
data analyst,"['Looker Studio', 'Data Visualization', 'Statistics', 'Tableau', 'Excel', 'SQL']",entry
data analyst,"['Power BI', 'Data Visualization', 'Attention to Detail', 'Pivot Table', 'Statistics', 'Regression', 'Tableau', 'Excel', 'SQL', 'Business Intelligence', 'Problem Solving', 'Dashboard']",middle
data analyst,"['Data Analysis', 'Microsoft Office', 'Statistics']",middle
